text,link,new
"Fighting open science with open science","https://forrt.org/glossary/english/open_washing/",FALSE
"Peer-reviewed cat memes","https://nlesc.github.io/softwarehorrorgame/SoftwareHorrorGame.html",FALSE
"AI-generated research papers","https://www.nature.com/articles/d41586-023-02218-z",FALSE
"A lab meeting interrupted by a surprise llama","https://howtocatchallama.com/",FALSE
"A 'Publish First, Ask Questions Later' approach","",FALSE
"Diederik Stapel","https://retractionwatch.com/2016/09/13/no-teaching-post-for-fraudster-diederik-stapel-after-all/#more-44194",FALSE
"Your mom calling you by your ORCiD","https://info.orcid.org/researchers/",FALSE
"Confidently ignoring all inquiries of groups trying to replicate my research","",FALSE
"Being a failure in the eyes of everyone I care about because I am only the second author","",FALSE
"Getting exactly 0 citations for my replication study","https://www.science.org/doi/10.1126/sciadv.abd1705",FALSE
"Waiting until my paper gets retracted because some rando finds a bug in my code","https://twitter.com/lakens/status/1542018352968863745?s=20",FALSE
"Your data getting scooped before you can say open sci...","https://quantpalaeo.wordpress.com/2018/02/26/been-scooped-a-discussion-on-data-stewardship/",FALSE
"Having a little cry on the toilet","",FALSE
"Buggy research software collecting dust in a private repository until the heat death of the universe","https://blog.esciencecenter.nl/researchers-are-not-born-engineers-why-are-they-expected-to-know-how-to-code-1eeb5c3d03c0",FALSE
"Realizing that your research is unique, your data is unique and your greatness is the most unique of them all","",FALSE
"Making ALL your data public (with a short embargo of 50 years)","",FALSE
"Selling our inventions to the journal Frontiers in Hell","https://nlesc.github.io/softwarehorrorgame/SoftwareHorrorGame.html",FALSE
"Nobody in my field caring about it","https://blogs.lse.ac.uk/impactofsocialsciences/2014/04/23/academic-papers-citation-rates-remler/",FALSE
"My 30+ years of experience as a researcher","",FALSE
"The upcoming publication deadline","",FALSE
"Sexy state secrets","",FALSE
"An Attribution-NonCommercial-ShareAlike 4.0 International license","https://creativecommons.org/choose/",FALSE
"Turning in your final version for the fourteenth time","https://phdcomics.com/comics/archive_print.php?comicid=1531",FALSE
"Good practice","",FALSE
"Financing the CEO of Elsevier's fourth boat","https://www.theguardian.com/science/2017/jun/27/profitable-business-scientific-publishing-bad-for-science",FALSE
"Teaching preteens how to build a nuclear bomb","",FALSE
"Feeding the trolls with another paper they can cherry pick the s*** out of","https://blogs.lse.ac.uk/impactofsocialsciences/2018/01/11/new-research-must-be-better-reported-the-future-of-society-depends-on-it/",FALSE
"The press reducing my nuanced findings to a flashy headline","https://www.smbc-comics.com/comic/science-journalism",FALSE
"Asking 1800 euro to put a PDF online","https://www.youtube.com/watch?v=8F9gzQz1Pms",FALSE
"Generations of ill-informed decision making because of walled-off flawed research","https://www.nature.com/articles/nature.2015.18248",FALSE
"Spaghetti code and broken dreams","https://blog.esciencecenter.nl/researchers-are-not-born-engineers-why-are-they-expected-to-know-how-to-code-1eeb5c3d03c0",FALSE
"Endless bug fixes","https://the-turing-way.netlify.app/reproducible-research/testing",FALSE
"'git blame' sessions","https://dev.to/sanspanic/blaming-git-blame-1f4o",FALSE
"Code review therapy sessions","https://www.software.ac.uk/blog/2022-03-18-treat-your-research-code-code-review#:~:text=Code%20Review%20is%20a%20software,different%20from%20academic%20peer%20review.",FALSE
"Committing without testing","https://the-turing-way.netlify.app/reproducible-research/testing/testing-checklist",FALSE
"An infinite `for` loop","",FALSE
"Copy-pasting all your respondents sensitive data into chatGPT to make a pretty boxplot","https://arxiv.org/pdf/2309.17410.pdf",FALSE
"Being expected to never make mistakes in your research... ever!","",FALSE
